Geneve,500,118
Lausanne,538,153
Neuchatel,560,205
Delemont,580,242
Bale,612,267
Berne,601,199
Lucerne,666,212
Zurich,683,248
Schaffouse,690,283
St.-Gall,746,255
Coire,760,192
St.-Moritz,785,153
Bellinzone,723,117
Andermatt,675,160
Sion,595,120
